施設名,住所
めぐろ区民キャンパス公園,目黒区八雲1-1-12
衾町公園,目黒区八雲5-7-2
碑文谷公園,目黒区碑文谷6-9-11
柿の木坂児童遊園,目黒区柿の木坂2-29-1
中根公園付近,目黒区中根2-10-15
自由が丘公園付近,目黒区自由が丘2-22-1
宮前公園付近,目黒区八雲3-25-15
駒沢陸橋側道,目黒区八雲5-18-10
自由が丘学園付近,目黒区自由が丘1-3-27
八雲3丁目交差点脇,目黒区八雲3-13-1
八雲小学校角,目黒区八雲2-14-1
緑が丘1丁目児童遊園,目黒区緑が丘1-15-10
十一中北側,目黒区中根1-22-10
大岡山公園周辺,目黒区大岡山1-20-1
中根2丁目住宅街十字路,目黒区中根2-5-10
自由が丘3丁目エリア,目黒区自由が丘3-15-10
緑が丘文化会館横,目黒区緑が丘2-14-10
呑川緑道交差点,目黒区八雲4-5-10
深沢不動付近,目黒区柿の木坂3-11-10
東が丘公園横,目黒区東が丘1-15-1
柿の木坂東児童遊園,目黒区柿の木坂1-22-1
平町1丁目住宅街,目黒区平町1-18-1
柿の木坂3丁目西角,目黒区柿の木坂3-6-1
駒沢公園入口,目黒区東が丘2-16-1
都立大駅北マンション群,目黒区中根1-10-1
平町児童遊園,目黒区平町2-15-1
柿の木坂みどり公園,目黒区柿の木坂3-3-1
碑文谷2丁目区道交点,目黒区碑文谷2-10-1
サレジオ教会裏手,目黒区碑文谷1-26-1
桜修館中等教育学校横,目黒区八雲1-1-10
国立病院機構付近,目黒区東が丘2-10-1
柿の木坂1丁目交差点裏,目黒区柿の木坂1-30-1
公園西側坂道,目黒区中根2-1-1
八雲体育館周辺,目黒区八雲1-10-1
清水池公園周辺,目黒区目黒本町2-12-1
本町5丁目エリア,目黒区目黒本町5-30-1
洗足公園周辺,目黒区洗足2-1-1
厳島神社付近三差路,目黒区碑文谷3-1-1
原町1丁目マンション街,目黒区原町1-15-1
目黒星美学園周辺,目黒区碑文谷1-10-1
南1丁目区境,目黒区南1-15-1
洗足駅北マンション街,目黒区洗足2-20-1
円融寺裏手,目黒区碑文谷1-20-1
4丁目マンションエリア,目黒区碑文谷4-15-1
南2丁目児童遊園,目黒区南2-10-1
西小山駅付近（区境）,目黒区目黒本町5-1-1
碑文谷並木道,目黒区碑文谷6-10-1
小山台1丁目公園角,目黒区小山台1-5-1
すずめのお宿公園周辺,目黒区碑文谷3-11-1
宝来公園,大田区田園調布3-31-1
田園調布せせらぎ公園,大田区田園調布1-53-10
雪ヶ谷児童遊園,大田区東雪谷2-20-1
東雪谷二丁目公園,大田区東雪谷2-3-26
久が原公園,大田区久が原3-27-18
南久が原児童公園,大田区南久が原1-17-6
田園調布小学校周辺,大田区田園調布2-40-1
多摩川台公園入口,大田区田園調布4-2-1
本町児童公園付近,大田区田園調布本町15-1
嶺町小学校周辺,大田区田園調布本町7-1
坂上見通し地点,大田区東雪谷3-20-1
住宅街中央,大田区雪谷大塚町10-1
2丁目低層エリア,大田区南雪谷2-15-1
1丁目住宅街,大田区石川町1-10-1
多摩川沿い高台,大田区田園調布5-50-1
雪谷中学校周辺,大田区南雪谷5-10-1
東雪谷4丁目マンション群,大田区東雪谷4-15-1
扇状道路合流点,大田区田園調布2-20-1
笹丸東公園付近,大田区田園調布本町25-1
諏訪分公園周辺,大田区田園調布4-15-1
石川台駅北高台,大田区石川町2-1-1
久が原4丁目広道,大田区久が原4-10-1
千鳥1丁目マンション街,大田区千鳥1-15-1
鵜の木1丁目公園角,大田区鵜の木1-10-1
久が原特別出張所付近,大田区久が原2-12-1
児童公園周辺,大田区東嶺町10-1
南久が原2丁目交差点,大田区南久が原2-10-1
千鳥町駅西住宅街,大田区千鳥1-5-1
5丁目静かな区道,大田区久が原5-10-1
3丁目マンション密集地,大田区鵜の木3-15-1
松山公園周辺,大田区久が原4-25-1
久が原出世観音付近,大田区久が原2-5-1
千鳥3丁目マンション街,大田区千鳥3-10-1
2丁目見通し区道,大田区鵜の木2-15-1
久が原杜の公園周辺,大田区久が原4-30-1
西嶺町高台,大田区西嶺町15-1
3丁目マンション密集,大田区上池台3-20-1
長池公園周辺,大田区上池台1-15-1
1丁目住宅街,大田区仲池上1-10-1
北嶺町児童公園前,大田区北嶺町15-1
洗足池公園南入口,大田区南雪谷1-1-1
5丁目坂頂上,大田区上池台5-1-1
2丁目静かな区道,大田区仲池上2-15-1
北嶺町交差点裏,大田区北嶺町20-1
商店街外れ,大田区上池台2-10-1
小池公園周辺,大田区上池台3-35-1
夫婦坂付近,大田区上池台4-10-1
雪谷中学校東側,大田区東雪谷5-15-1
桜並木通り沿い,大田区仲池上1-25-1
4丁目マンション群,大田区上池台4-25-1
洗足池図書館周辺,大田区南雪谷2-1-1
